OrderID,OrderDate,CustomerID,Gender,Age,Product,Category,Quantity,Price,Region,PaymentMethod
1001,2023-01-05,C001,Female,28,Laptop,Electronics,1,55000,South,Credit Card
1002,2023-01-07,C002,Male,35,T-Shirt,Clothing,3,1200,West,UPI
1003,2023-01-10,C003,Female,42,Rice Bag,Groceries,5,900,North,Cash
1004,2023-02-02,C001,Female,28,Mobile,Electronics,1,30000,South,Debit Card
1005,2023-02-10,C004,Male,23,Jeans,Clothing,2,2500,East,Credit Card
1006,2023-02-18,C005,Female,31,Shampoo,Beauty,4,600,West,UPI
1007,2023-03-01,C006,Male,45,Sofa,Furniture,1,40000,North,Credit Card
1008,2023-03-15,C003,Female,42,Wheat Flour,Groceries,10,450,South,Cash
1009,2023-03-20,C007,Male,29,Headphones,Electronics,2,2000,East,Debit Card
1010,2023-04-05,C008,Female,34,Lipstick,Beauty,5,800,West,Credit Card
1011,2023-04-12,C009,Male,38,TV,Electronics,1,65000,South,Credit Card
1012,2023-04-18,C010,Female,27,Saree,Clothing,2,3500,East,UPI
1013,2023-05-02,C011,Male,33,Refrigerator,Electronics,1,48000,North,Debit Card
1014,2023-05-10,C012,Female,29,Face Cream,Beauty,3,1200,West,Cash
1015,2023-05-22,C013,Male,41,Office Chair,Furniture,1,15000,South,Credit Card
